"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"42","PHQ.ON.FRAG","-0.01","[-0.07,  0.04]","-0.03*","[-0.06, -0.00]","-0.02","[-0.08,  0.04]"
"43","PHQ.ON.AGE","0.01*","[ 0.00,  0.02]","-0.00","[-0.01,  0.00]","-0.01*","[-0.02, -0.00]"
"44","PHQ.ON.URB","0.00","[-0.09,  0.09]","0.04","[-0.01,  0.10]","0.04","[-0.06,  0.15]"
"45","PHQ.ON.EDUM","0.07","[-0.19,  0.33]","0.11","[-0.07,  0.29]","0.04","[-0.26,  0.33]"
"46","PHQ.ON.EDUH","0.25","[-0.03,  0.53]","0.11","[-0.05,  0.27]","-0.14","[-0.45,  0.17]"
"47","PHQ.ON.INC2","-0.28","[-0.60,  0.04]","-0.15","[-0.42,  0.13]","0.13","[-0.28,  0.55]"
"48","PHQ.ON.INC3","-0.29","[-0.59,  0.01]","-0.23*","[-0.46, -0.01]","0.06","[-0.31,  0.43]"
"49","PHQ.ON.INC4","-0.28","[-0.60,  0.03]","-0.32**","[-0.56, -0.09]","-0.04","[-0.43,  0.35]"
"50","PHQ.ON.INC5","-0.18","[-0.47,  0.10]","-0.29*","[-0.51, -0.07]","-0.11","[-0.46,  0.25]"
"51","PHQ.ON.HOUS2C","0.04","[-0.19,  0.26]","0.01","[-0.11,  0.13]","-0.03","[-0.28,  0.23]"
"52","PHQ.ON.HOUSSP","-0.11","[-0.53,  0.31]","0.00","[-0.24,  0.25]","0.11","[-0.38,  0.60]"
"53","PHQ.ON.HOUSO","-0.13","[-0.41,  0.15]","-0.01","[-0.15,  0.13]","0.12","[-0.19,  0.44]"
"54","PHQ.ON.MARS","0.36","[-0.01,  0.72]","0.15","[-0.06,  0.36]","-0.20","[-0.61,  0.20]"
"55","PHQ.ON.MARW","-0.09","[-0.98,  0.79]","-0.25","[-0.73,  0.23]","-0.16","[-1.14,  0.82]"
"56","PHQ.ON.MARN","0.18","[-0.10,  0.46]","0.13","[-0.00,  0.26]","-0.05","[-0.35,  0.24]"
"57","PHQ.ON.PHYS","-0.04","[-0.09,  0.01]","-0.04**","[-0.07, -0.01]","-0.00","[-0.06,  0.05]"
"58","PSS.ON.DEP","0.09","[-0.12,  0.30]","-0.07","[-0.20,  0.06]","-0.16","[-0.40,  0.07]"
"59","PSS.ON.FRAG","-0.02","[-0.05,  0.02]","-0.00","[-0.03,  0.02]","0.01","[-0.03,  0.06]"
"60","PSS.ON.AGE","-0.01***","[-0.02, -0.00]","-0.01***","[-0.02, -0.01]","-0.00","[-0.01,  0.00]"
