"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"448","Sum.of.indirect.PHQ.COH","-0.20***","[-0.27, -0.13]","-0.10***","[-0.14, -0.05]",,
"450","Sum.of.indirect.PHQ.GREEN","0.07","[-0.07,  0.20]","0.03","[-0.02,  0.07]",,
"452","Sum.of.indirect.PHQ.NOI","0.12***","[ 0.05,  0.18]","0.08***","[ 0.05,  0.12]",,
"454","Sum.of.indirect.PHQ.PLEA","0.14*","[ 0.02,  0.27]","0.01","[-0.04,  0.06]",,
"456","Sum.of.indirect.PHQ.SAFE","-0.15**","[-0.24, -0.06]","-0.12***","[-0.16, -0.07]",,
"458","Variances.BLUE","1.00","","1.00","",,
"460","Variances.COH","1.00","","1.00","",,
"462","Variances.GREEN","1.00","","1.00","",,
"464","Variances.NOI","1.00","","1.00","",,
"466","Variances.PLEA","1.00","","1.00","",,
"468","Variances.SAFE","1.00","","1.00","",,
"469","Total.PHQ.BLUE","-0.04","[-0.19,  0.11]","-0.05","[-0.11,  0.00]",,
"471","Total.PHQ.COH","-0.24***","[-0.33, -0.15]","-0.14***","[-0.20, -0.09]",,
"473","Total.PHQ.GREEN","0.06","[-0.10,  0.22]","0.06","[-0.00,  0.11]",,
"475","Total.PHQ.NOI","0.15***","[ 0.07,  0.23]","0.14***","[ 0.09,  0.19]",,
"477","Total.PHQ.PLEA","0.06","[-0.10,  0.23]","0.03","[-0.04,  0.10]",,
"479","Total.PHQ.SAFE","-0.05","[-0.15,  0.05]","-0.09**","[-0.15, -0.03]",,
